Id,SalePrice
1461,123061.1732
1462,157572.686333333
1463,167768.349866667
1464,185201.040666667
1465,206115.581166667
1466,178087.622
1467,166663.104766667
1468,175981.7948
1469,180718.857433333
1470,121695.336733333
1471,201448.093666667
1472,99754.2354761905
1473,100143.7876
1474,155391.156123809
1475,133948.9031
1476,357525.352033333
1477,258594.977566667
1478,313183.046166666
1479,248955.945166667
1480,474880.122666667
1481,311312.6646
1482,206500.545366667
1483,171891.3713
1484,169329.246942857
1485,166143.096466667
1486,207306.270666667
1487,328158.974533333
1488,250827.7937
1489,199822.986966667
1490,200709.772933333
1491,187423.474866667
1492,104436.932266667
1493,173653.635133333
1494,286867.872866667
1495,310867.420366667
1496,225672.811166667
1497,197190.953933333
1498,152551.515709091
1499,153365.035375757
1500,155868.335961905
1501,174966.955666667
1502,148339.0118
1503,296978.651933333
1504,233026.157533333
1505,216357.066166667
1506,204247.984466667
1507,219678.8788
1508,200532.413733333
1509,164773.513833333
1510,144073.018466667
1511,155324.225066667
1512,178199.131
1513,160755.0543
1514,171814.2542
1515,192358.614166667
1516,159762.941066667
1517,143978.058666667
1518,140889.1132
1519,226276.122823809
1520,139234.140266667
1521,146637.632733333
1522,179341.753
1523,114598.681
1524,122103.5747
1525,131431.729866667
1526,130349.215380952
1527,95206.9082333333
1528,123210.354866667
1529,143523.020166667
1530,160302.388266667
1531,118627.987733333
1532,109290.018933333
1533,147582.104333333
1534,119193.9641
1535,154191.9632
1536,113239.6088
1537,85552.3949
1538,171219.7786
1539,230526.1596
1540,127833.442133333
1541,166016.858633333
1542,149645.472466667
1543,211083.022166667
1544,83036.4690333333
1545,107808.378266667
1546,125613.295433333
1547,135003.819466667
1548,141184.123833333
1549,111502.829633333
1550,146746.2817
1551,122819.485833333
1552,136839.199966667
1553,131679.875433333
1554,112315.8493
1555,165708.93
1556,109339.046633333
1557,143722.0846
1558,102066.019166667
1559,128996.017433333
1560,148841.677366667
1561,181140.455966667
1562,115964.6353
1563,122951.739766667
1564,169694.638
1565,147871.2679
1566,211338.93502381
1567,83544.0712666667
1568,208502.797666667
1569,132497.659033333
1570,119681.971233333
1571,130125.230333333
1572,141968.7471
1573,239494.9621
1574,142805.3959
1575,214481.199866667
1576,225168.022466667
1577,198440.947833333
1578,148638.950166667
1579,143656.24
1580,190897.369333333
1581,132640.673466667
1582,129738.159533333
1583,351094.5609
1584,235999.914933333
1585,141346.247395382
1586,67622.3591333333
1587,103452.941
1588,150856.697166667
1589,107237.679566667
1590,140735.346666667
1591,106320.749
1592,118835.1654
1593,118322.085466667
1594,138471.086066667
1595,134455.3989
1596,251803.854366667
1597,163878.4129
1598,175023.951966667
1599,202849.490166667
1600,192769.990033333
1601,67439.6240666666
1602,115603.526533333
1603,95739.8686
1604,276638.383333333
1605,255615.551333333
1606,170323.5773
1607,197738.160933333
1608,201489.7902
1609,191132.836
1610,154007.731466667
1611,149707.9003
1612,156921.4447
1613,160530.4653
1614,126970.185
1615,82477.3176857143
1616,78367.5944190476
1617,85564.526552381
1618,124949.9096
1619,128181.151038095
1620,166715.992933333
1621,139722.7925
1622,147785.954966667
1623,308161.7976
1624,218774.596133333
1625,124039.314333333
1626,180541.998333333
1627,191659.203666667
1628,287961.4912
1629,173056.346266667
1630,350784.813533333
1631,222169.4269
1632,255750.730833333
